Node_1_Ortholog_group_ID,Node2_Ortholog_group_ID,Layer,S_typhi_strain_CT18_EIP,S_choleraesuis_SC_B67_EIP,S_dublin_CT_02021853_EIP,S_gallinarum_287/91_EIP,S_paratyphi_A_ATCC_9150_EIP,S_agona_SL483_GIP,S_enteritidis_P125109_GIP,S_heidelberg_SL476_GIP,S_newport_SL254_GIP,S_typhimurium_LT2_GIP,S_typhimurium_SL1344_GIP
216,721,Metabolic,1,1,1,1,1,1,1,1,1,1,1
216,3199,Metabolic,1,1,1,1,1,1,1,1,1,1,1
218,3270,Metabolic,1,1,1,1,1,1,1,1,1,1,1
218,2449,Metabolic,1,1,1,1,1,1,1,1,1,1,1
220,705,Metabolic,1,1,1,1,1,1,1,1,1,1,1
220,3368,Metabolic,1,1,1,1,1,1,1,1,1,1,1
220,3433,Metabolic,1,1,1,1,1,1,1,1,1,1,1
220,4050,Metabolic,1,1,1,1,1,1,1,1,1,1,1
225,4417,Metabolic,1,1,1,1,1,1,1,1,1,1,1
225,4304,Metabolic,1,1,1,1,1,1,1,1,1,1,1
231,111,Metabolic,1,1,1,1,1,1,1,1,1,1,1
231,2212,Metabolic,1,1,1,1,1,1,1,1,1,1,1
231,3056,Metabolic,1,1,1,1,1,1,1,1,1,1,1
231,2457,Metabolic,1,1,1,1,1,1,1,1,1,1,1
231,313,Metabolic,1,1,1,1,1,1,1,1,1,1,1
231,561,Metabolic,1,1,1,1,1,1,1,1,1,1,1
231,1686,Metabolic,1,1,1,1,1,1,1,1,1,1,1
231,3243,Metabolic,1,1,1,1,1,1,1,1,1,1,1
234,72,Metabolic,1,1,1,1,1,1,1,1,1,1,1
234,3699,Metabolic,1,1,1,1,1,1,1,1,1,1,1
234,2753,Metabolic,1,1,1,1,1,1,1,1,1,1,1
234,2760,Metabolic,1,1,1,1,1,1,1,1,1,1,1
234,884,Metabolic,1,1,1,1,1,1,1,1,1,1,1
234,219,Metabolic,1,1,1,1,1,1,1,1,1,1,1
240,1788,Metabolic,1,1,1,1,1,1,1,1,1,1,1
240,3171,Metabolic,1,1,1,1,1,1,1,1,1,1,1
240,3866,Metabolic,1,1,1,1,1,1,1,1,1,1,1
240,1197,Metabolic,1,1,1,1,1,1,1,1,1,1,1
240,2524,Metabolic,1,1,1,1,1,1,1,1,1,1,1
240,1200,Metabolic,1,1,1,1,1,1,1,1,1,1,1
240,2794,Metabolic,1,1,1,1,1,1,1,1,1,1,1
240,1938,Metabolic,1,1,1,1,1,1,1,1,1,1,1
242,2449,Metabolic,1,1,1,1,1,1,1,1,1,1,1
243,2137,Metabolic,1,1,1,1,1,1,1,1,1,1,1
243,1445,Metabolic,1,1,1,1,1,1,1,1,1,1,1
248,2641,Metabolic,1,1,1,1,1,1,1,1,1,1,1
248,1845,Metabolic,1,1,1,1,1,1,1,1,1,1,1
248,1641,Metabolic,1,1,1,1,1,1,1,1,1,1,1
251,295,Metabolic,1,1,1,1,1,1,1,1,1,1,1
251,2469,Metabolic,1,1,1,1,1,1,1,1,1,1,1
251,572,Metabolic,1,1,1,1,1,1,1,1,1,1,1
251,439,Metabolic,1,1,1,1,1,1,1,1,1,1,1
251,731,Metabolic,1,1,1,1,1,1,1,1,1,1,1
251,1041,Metabolic,1,1,1,1,1,1,1,1,1,1,1
251,3846,Metabolic,1,1,1,1,1,1,1,1,1,1,1
251,3490,Metabolic,1,1,1,1,1,1,1,1,1,1,1
251,2034,Metabolic,1,1,1,1,1,1,1,1,1,1,1
251,2936,Metabolic,1,1,1,1,1,1,1,1,1,1,1
251,1329,Metabolic,1,1,1,1,1,1,1,1,1,1,1
251,120,Metabolic,1,1,1,1,1,1,1,1,1,1,1
252,2904,Metabolic,1,1,1,1,1,1,1,1,1,1,1
263,861,Metabolic,1,1,1,1,1,1,1,1,1,1,1
263,1454,Metabolic,1,1,1,1,1,1,1,1,1,1,1
263,2114,Metabolic,1,1,1,1,1,1,1,1,1,1,1
263,933,Metabolic,1,1,1,1,1,1,1,1,1,1,1
263,3279,Metabolic,1,1,1,1,1,1,1,1,1,1,1
263,3454,Metabolic,1,1,1,1,1,1,1,1,1,1,1
268,1774,Metabolic,1,1,1,1,1,1,1,1,1,1,1
268,3104,Metabolic,1,1,1,1,1,1,1,1,1,1,1
268,2702,Metabolic,1,1,1,1,1,1,1,1,1,1,1
268,2871,Metabolic,1,1,1,1,1,1,1,1,1,1,1
268,636,Metabolic,1,1,1,1,1,1,1,1,1,1,1
269,237,Metabolic,1,1,1,1,1,1,1,1,1,1,1
271,1642,Metabolic,1,1,1,1,1,1,1,1,1,1,1
271,561,Metabolic,1,1,1,1,1,1,1,1,1,1,1
271,1686,Metabolic,1,1,1,1,1,1,1,1,1,1,1
271,17,Metabolic,1,1,1,1,1,1,1,1,1,1,1
275,1192,Metabolic,1,1,1,1,1,1,1,1,1,1,1
277,1793,Metabolic,1,1,1,1,1,1,1,1,1,1,1
277,3060,Metabolic,1,1,1,1,1,1,1,1,1,1,1
279,2449,Metabolic,1,1,1,1,1,1,1,1,1,1,1
284,3227,Metabolic,1,1,1,1,1,1,1,1,1,1,1
284,3199,Metabolic,1,1,1,1,1,1,1,1,1,1,1
