source;target;ref;layer
B5EX44;B5EX43;STM;Metabolic
B5EX44;B5EXM5;BioModels;Metabolic
B5EX44;B5F8C1;BioModels;Metabolic
B5EX45;B5EX38;STM;Metabolic
B5EX56;B5F072;BioModels;Metabolic
B5EX58;B5F597;STM;Metabolic
B5EX58;B5F653;STM;Metabolic
B5EX58;B5F8W4;STM;Metabolic
B5EX58;B5F974;STM;Metabolic
B5EX65;B5EX66;STM;Metabolic
B5EX71;B5EX72;STM;Metabolic
B5EX71;B5F784;STM;Metabolic
B5EX72;B5F720;STM;Metabolic
B5EX75;B5F0G2;BioModels;Metabolic
B5EX75;B5F1F0;BioModels;Metabolic
B5EX75;B5F1P6;STM;Metabolic
B5EX75;B5F1P8;STM;Metabolic
B5EX75;B5F1Q0;STM;Metabolic
B5EX75;B5F2H5;BioModels;Metabolic
B5EX76;B5EZ27;STM;Metabolic
B5EX76;B5EZ28;STM_BioModels;Metabolic
B5EX76;B5F8P7;BioModels;Metabolic
B5EX82;B5EX83;STM;Metabolic
B5EX82;B5EX84;STM;Metabolic
B5EX82;B5F0N6;STM;Metabolic
B5EX82;B5F0N8;STM;Metabolic
B5EX82;B5F662;STM;Metabolic
B5EX82;B5F664;STM;Metabolic
B5EX83;B5EX84;STM;Metabolic
B5EX83;B5F0N8;STM;Metabolic
B5EX83;B5F662;STM;Metabolic
B5EX85;B5EX79;STM;Metabolic
B5EX85;B5EX82;STM;Metabolic
B5EX85;B5EX83;STM;Metabolic
B5EX85;B5EX84;STM;Metabolic
B5EX85;B5F0M7;STM;Metabolic
B5EX85;B5F0N6;STM;Metabolic
B5EX85;B5F0N7;STM;Metabolic
B5EX85;B5F0N8;STM;Metabolic
B5EX85;B5F3A8;BioModels;Metabolic
B5EX85;B5F662;STM;Metabolic
B5EX85;B5F663;STM;Metabolic
B5EX85;B5F664;STM;Metabolic
B5EX86;B5EX85;STM_BioModels;Metabolic
B5EX86;B5F3A8;STM_BioModels;Metabolic
B5EX87;B5EX86;BioModels;Metabolic
B5EX87;B5F3B2;BioModels;Metabolic
B5EX88;B5F3B3;STM;Metabolic
B5EX88;B5F784;STM_BioModels;Metabolic
B5EX94;B5F146;STM;Metabolic
B5EX94;B5F854;STM;Metabolic
B5EX98;B5F0G0;STM;Metabolic
B5EX98;B5F0G1;STM;Metabolic
B5EX99;B5EX98;STM_BioModels;Metabolic
B5EX99;B5F0G0;STM;Metabolic
B5EX99;B5F0G1;STM;Metabolic
B5EXA6;B5F1T2;STM;Metabolic
B5EXA8;B5EXA6;STM;Metabolic
B5EXB2;B5EXB3;STM;Metabolic
B5EXB2;B5F4Q7;STM;Metabolic
B5EXB3;B5F1T2;STM;Metabolic
B5EXB7;B5F0Z1;STM;Metabolic
B5EXB7;B5F414;STM;Metabolic
B5EXB7;B5F6L4;STM;Metabolic
B5EXB7;B5F942;STM;Metabolic
B5EXB9;B5F050;STM;Metabolic
