1,B5FKS7,dxs,SeD_A0463,11,1
2,B5FIQ4,ptsO,SeD_A3683,11,1
20,B5FHF5,citF,SeD_A0066,11,6
30,B5FKL3,SeD_A3967,SeD_A3967,11,8
32,B5FJI7,zntR,SeD_A3778,11,1
39,B5FV13,hybB,SeD_A3496,11,1
40,B5FSE6,treC,SeD_A4834,9,9
50,B5FHZ4,diaA,SeD_A3621,11,1
59,B5FMV5,SeD_A2483,SeD_A2483,2,1
79,B5FIL8,pykF,SeD_A1964,11,2
108,B5FTE3,SeD_A5001,SeD_A5001,10,1
130,B5FUX7,nupG,SeD_A3457,20,10
136,B5FSG0,arcA,SeD_A4850,10,4
142,B5FLU6,SeD_A0639,SeD_A0639,1,1
159,B5FQ92,SeD_A1084,SeD_A1084,1,1
166,B5FLZ9,cbiE,SeD_A2366,11,2
175,B5FT25,eprH,SeD_A3184,11,3
200,B5FP67,SeD_A0895,SeD_A0895,11,7
219,B5FKH0,ggt,SeD_A3922,11,4
220,B5FU38,SeD_A1573,SeD_A1573,10,2
226,B5FUH9,SeD_A3406,SeD_A3406,1,1
247,B5FU94,fabI,SeD_A1632,11,9
256,B5FT09,hypD,SeD_A3167,11,5
257,B5FN26,SeD_A4248,SeD_A4248,9,5
274,B5FTD6,SeD_A4994,SeD_A4994,11,2
275,B5FNN6,SeD_A2586,SeD_A2586,5,3
295,B5FNQ9,SeD_A2610,SeD_A2610,11,7
301,B5FML9,citD,SeD_A0723,11,9
305,B5FM60,rpmG,SeD_A4114,11,2
307,B5FJP1,argD,SeD_A3836,11,8
313,B5FQD6,cysT,SeD_A2809,11,7
314,B5FQQ7,ubiC,SeD_A4627,11,2
372,B5FQ71,aspC,SeD_A1063,11,7
377,B5FKG3,SeD_A3914,SeD_A3914,15,1
383,B5FR17,SeD_A1164,SeD_A1164,11,1
387,B5FPN8,SeD_A2751,SeD_A2751,7,3
400,B5FIE9,SeD_A1887,SeD_A1887,9,1
420,B5FMS7,fcl,SeD_A2448,11,1
445,B5FR19,SeD_A1166,SeD_A1166,10,1
451,B5FL74,SeD_A2287,SeD_A2287,1,1
487,B5FI24,fixC,SeD_A0084,11,1
490,B5FQ49,serC,SeD_A1041,11,7
494,B5FI79,secA,SeD_A0145,11,12
498,B5FND7,SeD_A0810,SeD_A0810,11,3
499,B5FN86,wecF,SeD_A4315,11,9
507,B5FM80,SeD_A4135,SeD_A4135,14,1
533,B5FJ64,SeD_A0294,SeD_A0294,1,1
544,B5FJA9,SeD_A2013,SeD_A2013,8,5
552,B5FMN2,SeD_A0738,SeD_A0738,11,1
557,B5FJP4,SeD_A3839,SeD_A3839,9,3
559,B5FLI7,kbl,SeD_A4095,11,1
567,B5FPE7,SeD_A2652,SeD_A2652,11,1
568,B5FS69,SeD_A3071,SeD_A3071,11,1
